Language;Hash;Sentence
en_US;00a78c8168cc90bd6d785b7751190b49;{name} aproved a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;02eb28796b961f3286fe0126e278388e;{name1} and {name count others} aproved {content1} and {content count other contents}.
en_US;042a8d6508685e9ff450f0c4bca32ce6;{name1} aproved {content1} and {content2} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;0f32b1b0aa0dab4bdd063da69a9526d3;{name1} aproved {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;123fe3e8c61fad5a5713921a489a1e4c;{name1} and {name2} aproved {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;1d28f50c8165a01ce6fce2b0eb0a9bc5;{name1} and {name count} others aproved this.
en_US;272bfced3c981426bfc8b41f1b67c2fe;1 other aproved this.
en_US;29dc46774d0a169a05d539670bf76730;Aproved {content1}.
en_US;2d60f90a398c3d977b8c7b610d62e7b0;{name1} and {name count others} aproved {content1}.
en_US;343588ecf83c4a679a4981bf62c63bac;{name1} and {name2} aproved {content1} and {content count other contents}.
en_US;3705eda494f0dec7d1af3c2515796eb7;contents she aproved
en_US;3c94f3de03347a68d2bd38f7b9cf1ebb;{name1} and {name count others} aproved {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;492d2af25c7ded64e7b7361fe73bb6bc;a content {name} aproved
en_US;5563c29e0d0516be1a8b02364ce7f511;{name1} aproved this.
en_US;5c219fc81f2d355be534f94cab39fc3f;You and 1 other aproved this.
en_US;5c61eea9c969f5e107fdadd31fce1980;You and {number} others aproved this.
en_US;631194040604c7e0e1f014c6eb7596cc;{name1} aproved {content count contents}.
en_US;69aa948837d8efc85110a6494733b65f;contents you aproved
en_US;6ead6babb00486a10ae0a18233ba8a1d;{name1} and {name count others} aproved {content count contents}.
en_US;7a9f54a0e617de0736de284ecb0425d6;You and {name count} others aproved this.
en_US;81b98fd2fba40d26e951fb52efd51b28;{number} others aproved this. Be the first of your friends.
en_US;93e8fe02149c0c7b4429ddc9651f34e4;{name1} aproved {content1}.
en_US;96c990565ea436c172c6200eef395788;{name1} and {name count others} aproved {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;98f1a248c59913f7b95bb59cc8b9d765;{name1} and {name2} aproved {content1} and {content2}.
en_US;9cf9970221acc9e6c031ab43235befa7;contents he aproved
en_US;a6eeb1ddc35102844b300cfbc614b598;contents {name} aproved
en_US;adf7b4a60e3fdd1253223fe17438e7d4;{name} aproved {number} contents {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;b05f8844e201388b3f3ee4fd804e4bb6;{name} aproved a content.
en_US;b3933f99928fe711b04e5a6417dd57a4;You and {name1} aproved this.
en_US;b3cb38edbd1c476f8755e7fab8d438fe;{name1} aproved {content1} and {content2}.
en_US;b8a5fb4a4f2e2e51d2ca872ec55f8e99;{name1} and {name count others} aproved a content.
en_US;b8c585508c92e53aa959b8b345a9c454;{name1} and {name2} aproved this.
en_US;bcc64ae3bbb046198ff7ad3ad8588f80;{name1} and {name2} aproved {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;c29c7aa3cfac154ff4a0591366d50250;contents they aproved
en_US;c2e9d6e0847714748922eb3f3a1b6fc3;{name1} aproved {content1} and {content count other contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;c53a16052ae8ff95b394165c13ee5e4d;{name1} and {name count others} aproved a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;c58b5818dc974a19613771d0d5de9afd;a content they aproved
en_US;c98ce750fe443978615d13905e1875a2;a content he aproved
en_US;cdca66adc1ec8ff146710fe8101b3639;{name1} aproved a content.
en_US;ce06391f1f12992e4cb42e139158d1e8;{name1} and {name count others} aproved {content1} and {content2}.
en_US;d017741322cbca8026be43f93804e60e;{name1} aproved {content1} and {content count other contents}.
en_US;d317914ee6450035e93c815a65e58ece;{number} others aproved this.
en_US;d4db84e68f81788ec44b53e7586027c3;{name1} aproved {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;d54c2170501d940c1c492283187128d7;{name1} aproved a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;d60f7fb0409efb8473b2de7727a1c9b1;{name1} and {name2} aproved a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;e5cd2818a01cdd2a29c4bf37712c09d2;{name1} and {name2} aproved a content.
en_US;e6232b521eba99cf097a924c6282b75f;{name} aproved {number} contents.
en_US;e83af2c17b18102b74b5c2ac4646f3c8;You aproved this.
en_US;ed1eb56cb45e941b6599759e8649ad85;{name1} and {name2} aproved {content count contents}.
en_US;f5a8b16cb1c79769a54c5566fae95773;{name1} and {name2} aproved {content1}.
en_US;f8180519f106e8161f33b1416d2dd64c;a content she aproved
en_US;fb27b079447ce0672e14c022c60c4892;a content you aproved
en_US;ff2e6def77da67045a52ed345ebe295b;1 other aproved this. Be the first of your friends.
