Language;Hash;Sentence
en_US;006f96bc867f03d48e047e2a93870b68;{name1} and {name2} disapproved {content1} and {content2}.
en_US;02aafb7ac1af2f42c560a1d0ef11982c;contents they disapproved
en_US;04ae60509c1f0ba94dc21a2fd035bd79;a content they disapproved
en_US;0e8c07f367b4d7ea42b27ac1ea94d545;{name1} disapproved a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;13b25ea7816f4da1dcc6eb896d3c9c42;{name1} and {name2} disapproved {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;1bbef37b45e05740ab03404bf12b92e2;{name1} disapproved this.
en_US;1c07fac3d406f64bc86df2d44bd9147e;a content she disapproved
en_US;1ceffedefd22b74f6c7fceaecd6ec55c;{name1} and {name2} disapproved {content1} and {content count other contents}.
en_US;2dd2ce01e07ecfc6587de6cd9daa96d3;{name1} disapproved {content1} and {content2}.
en_US;3255c5f4cacedb2a5ca2d41ff0599ec5;1 other disapproved this.
en_US;3382986b6c33713faf04a6238d22d692;{name} disapproved a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;38ee7e113911b28794ba4ff935bc68bf;contents you disapproved
en_US;3de3d3de20b276e874ec0ab8ed2366da;{name} disapproved a content.
en_US;44fa11ccaade5d1e2da1bd0a3ebeda73;Disapproved {content1}.
en_US;4e4f1ca3b6436ac36d44711ae67112eb;{name1} disapproved {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;4faf967df2b9eb6e7fd5b4c612ac166d;{name1} and {name count} others disapproved this.
en_US;506e807e964ceb08e8bd3d7fcc32762b;{name1} and {name count others} disapproved {content1} and {content count other contents}.
en_US;51c0b39895f4ae8e089c4f60aa4e7943;{name1} disapproved {content1} and {content count other contents}.
en_US;521c2dbc9bb49f414ef5bb62fe3e55eb;contents he disapproved
en_US;535ba339f4968b23b3414449e7206168;You and 1 other disapproved this.
en_US;60fe3ff11394ec1a7880e7d7eafa19cf;contents {name} disapproved
en_US;68a749275033c76d926daa55088b56a2;{number} others disapproved this. Be the first of your friends.
en_US;73a5975f4ae31606baa31fe6aedae117;{name1} disapproved a content.
en_US;75117b372952b9d0c37d3c63e19f877e;{name1} and {name count others} disapproved {content1} and {content2}.
en_US;7b57cd699568e03fd9d80dae44661a1c;You and {name count} others disapproved this.
en_US;7e27e9f9972a07071b2e16af5dd910eb;You disapproved this.
en_US;8144663fd367342ac54492da32b0fa4e;{name1} and {name count others} disapproved a content.
en_US;817662dac2c6db3511006867da851b6c;{name} disapproved {number} contents.
en_US;8cfa4adea0951a4e9509ac019a5639c4;contents she disapproved
en_US;8ef8e6e9a12e8ebedc5ad2be04ed82e2;a content you disapproved
en_US;917de7c4a1a91efc7955c182b6753393;{name1} disapproved {content1} and {content2} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;9436b2019362cf4161c37283abda455e;{name1} and {name count others} disapproved {content1}.
en_US;9a5ae16c3f59986ee2b6318a5f8c58d3;{name1} disapproved {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;9a7a7c749880a1d999c5e6b77ba8943a;1 other disapproved this. Be the first of your friends.
en_US;9d4dd25b635f29d936910769a0b7d51d;You and {name1} disapproved this.
en_US;a1b9b4af0ac96a7702e4d345243ffbf8;{number} others disapproved this.
en_US;a2df7763fa240cb208f913c628084981;{name1} and {name2} disapproved {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;a89fc737ba223fd9a80659e08ef22604;{name1} and {name2} disapproved {content1}.
en_US;ad2aa582213a4012677a20d6deb16957;a content {name} disapproved
en_US;ae2045974f2695328b263a6b9e37820c;You and {number} others disapproved this.
en_US;b489188c1506ec2e41036813570a8955;{name1} disapproved {content1} and {content count other contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;b4db113d59313880131b35bcf7c9e275;a content he disapproved
en_US;c5c0134fb88422ae622d19e20f66eb13;{name1} and {name2} disapproved a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;c93a474222f2efe2a2c3c177c3cb6b69;{name1} disapproved {content count contents}.
en_US;e091305f1dffa3e9982b67fd4e292f94;{name1} and {name2} disapproved {content count contents}.
en_US;e6b0a7badab097181a08f160a534f233;{name1} and {name2} disapproved a content.
en_US;e6b0b54f401818d25d273a578d110cc3;{name1} and {name2} disapproved this.
en_US;e958c5f501e907881f44310fe86ac9fc;{name} disapproved {number} contents {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;ea22d275910ba52c77f01f5e989cc3f3;{name1} and {name count others} disapproved {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;ec9ff4274ff767687593ce27e5bcd3eb;{name1} and {name count others} disapproved a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;f50cbdf65a13bb4288cb6e6370b8e48d;{name1} and {name count others} disapproved {content count contents}.
en_US;fd1bae4f7cd21dbbf09255e34b33a185;{name1} and {name count others} disapproved {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;fe3adfa07dd958a4a7c9c1dc5f19667f;{name1} disapproved {content1}.
