Language;Hash;Sentence
en_US;0ae1fbbacea27a943a6f7bd2f04b19a4;{name1} and {name count others} liked {product1} on {App Name}.
en_US;0c8af5f744e467d579b5818526786c42;{name1} liked {content count contents} on {App Name}.
en_US;0df0d0d780041debc9a853351c7c33a7;a content he liked
en_US;12cc7964ea3f337ce3b9f62f127f703c;Liked {product1} on {App Name}.
en_US;144d136bd75161252e1c20001742fabd;{name1} and {name2} liked {product1} and {product count other products} on {App Name}.
en_US;2162f62536c3c3a31bc3b492c659e3c5;a content they liked
en_US;2304c8b6e1296210d921fffbed4d17d5;Liked {content1} on {App Name}.
en_US;2e189db41d9c04eb6157fef837aba025;{name1} and {name2} liked a content on {App Name}.
en_US;37c510198bfcfa38f642838a20590a59;{name1} liked a product on {App Name}.
en_US;3d16efa6332fc4ae1946645ab62c8188;{name1} and {name count others} liked {content count contents} on {App Name}.
en_US;42920dc5a3971580acc41140d4e47026;contents she liked
en_US;482b9be0bd6d763ac14eb18674bb9eee;products they liked
en_US;486f77c809b208be34b04b964cdc5e4a;a product she liked
en_US;491af4976a474d270b4b33672fb2f4ab;{name1} and {name count others} liked a content on {App Name}.
en_US;4d5508b104f873b785a4d091f216666e;Liked {content1}.
en_US;5115abe24d69a9d9480c0e43aee9a325;{name1} liked {product1} and {product count other products} on {App Name}.
en_US;583e839c3c5e6c529634647c6576f297;{name1} and {name2} liked {content1} and {content count other contents} on {App Name}.
en_US;58ef54a8d9f20f6443ddf5b2b04289ae;contents {name} liked
en_US;5ab68d82ab905cf3805b7e6c62e1c1b9;{name1} liked {content1} and {content2} on {App Name}.
en_US;5c5b5da41b0ada09ad9db304eaa3b19a;{name} liked {number} products.
en_US;6d3f8e4075b3bc423b0914e8c67c8036;{name1} liked {content1}.
en_US;6e5dfe2d382a21a73b82821ecfc2285b;Liked {product1}.
en_US;725922a1fce7d34b90184c81ad05c9dd;{name1} and {name count others} liked {product1} and {product count other products} on {App Name}.
en_US;740605c6d0d72195707691f875b73517;a product you liked
en_US;74267f2c6d2fb3677f2ab864d7c2b5a9;a content you liked
en_US;779cced391670921123a3f18bbc5b282;a product they liked
en_US;790c293784a01f91d5b1889ea8b121bf;products he liked
en_US;794d55f26cb25cfa2fa776ab92e680a8;{name1} and {name2} liked {product count products} on {App Name}.
en_US;79515d8f90f1db27e6ff4a1829e131f0;{name} liked {number} contents.
en_US;81435608ab42607cf7e44b21dac8e5dd;{name1} liked {product1}.
en_US;85f9869c9d8f695cd9093807d1598736;contents he liked
en_US;8b330df2ca381a840f8dd34300c32557;products you liked
en_US;944c26eb32710f60ce4a0ceb511e4c3a;{name1} liked {content1} and {content count other contents} on {App Name}.
en_US;94ac2f23b37d4f24c104c8c102af26f3;a product {name} liked
en_US;94d1c18b38327456f1b262bfa140e0df;{name1} and {name2} liked a product on {App Name}.
en_US;95142f074e0ba3ee706cf7b67cc4020b;contents they liked
en_US;952a6648416d2d3326ecc5a59657487c;{name} liked a content.
en_US;97b9b727756be0b4cf134782965b7e34;products she liked
en_US;a3dade8a9b2a10511f2ad7263fd2aa5c;{name1} and {name count others} liked a product on {App Name}.
en_US;ab3a34d3aa05657d2b2f3bc5c1c8d8f8;{name1} and {name2} liked {content1} and {content2} on {App Name}.
en_US;ae3bd71c37053858f91834edffe70958;{name} liked a product.
en_US;b5c068a0a188f8cec428bdf703e5cc83;{name1} liked {product1} on {App Name}.
en_US;ba96939611afa0f9bb21b75c9ba0a746;{name1} and {name2} liked {content1} on {App Name}.
en_US;bc3432e68a558a53bb5a1f2972df4519;{name1} and {name2} liked {product1} on {App Name}.
en_US;bedab1dbbb8639326491a1af7d07398d;{name1} and {name count others} liked {content1} and {content count other contents} on {App Name}.
en_US;c2260239ec90693a0074164d1e702f4b;{name1} and {name count others} liked {content1} and {content2} on {App Name}.
en_US;c230e792eeea9db8fcdf7202e807a2b9;{name1} liked {product1} and {product2} on {App Name}.
en_US;c67d5bf6e50e36d4b1a33e570cbac2c5;{name} liked {number} contents on {application}.
en_US;c6af9a67ab2c00ab6dbd43bc80feb1f6;{name} liked {number} products on {application}.
en_US;c6f3f8212bffd4c36a15dc40082c417e;{name1} liked {product count products} on {App Name}.
en_US;c716fd28d86e0a11608f1083bd4cf60f;{name} liked a product on {application}.
en_US;d1152480c777a6792a037c20c5dce289;{name1} and {name count others} liked {product1} and {product2} on {App Name}.
en_US;d1309e67018263e304d29727f2d1792b;contents you liked
en_US;dcfef7c4d9a0b5d0dc6602d55a8c3e81;products {name} liked
en_US;df95b086beeef4bba61519110035bf12;{name1} and {name count others} liked {product count products} on {App Name}.
en_US;e0f9f363f8d6fbff198082c25029a5b7;{name1} and {name2} liked {product1} and {product2} on {App Name}.
en_US;e12b4d806dc47dc06ec473792ff26a80;{name} liked a content on {application}.
en_US;e3da87375c005953fb21311080357e72;{name1} liked {content1} on {App Name}.
en_US;e441b0b607d6a0771330cc7886e43561;a product he liked
en_US;e76d69211c4c7b052a9e5a1ca740f1f2;{name1} and {name2} liked {content count contents} on {App Name}.
en_US;e9df40de9a8d3bf37a2bf1c32ded26ae;{name1} and {name count others} liked {content1} on {App Name}.
en_US;ea2860e2a9317bf906a9f1a5b7a8ece8;a content {name} liked
en_US;efc6f9487fe3a97cbaf9ea5a9c0558d2;{name1} liked a content on {App Name}.
en_US;f85a77deb1d0ba481eb5e6e3f3317b45;a content she liked
