Language;Hash;Sentence
en_US;03a1f1a33bf38086351e9a2e5ef8d347;{name1} lolled at {product1} and {product2} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;045bbcc167abb1a9ae24beb2c499c0d7;{name1} and {name2} lolled {content1}.
en_US;067bf3a15e6a31492fe0dc174a970772;contents {name} lolled
en_US;09307621c88f673c386add35778bce96;a content you lolled
en_US;0a3b8f3dc91a0b32605e067a2fe66531;{name1} and {name2} lolled {content count contents}.
en_US;0bde427526ab470fb584f77bf0258be8;{name1} and {name count others} lolled at a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;0c99cd70b67fb7003436e4cc7b520782;{name1} lolled at {product count products} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;0e1bddc67bf4d2556dcfb06700608e2a;{name1} and {name2} lolled {product1}.
en_US;0e73f41edc1a46aed99608b79de64b91;{name1} and {name count others} lolled at {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;0ef4c76f13e4b5751e0ad1204c8ae7c7;{name1} and {name count others} lolled a product.
en_US;104c8ceae112eb6acbecc05649ca3095;1 other lolled this.
en_US;14507ae4efce3a9ac8b166e0f64556f1;{name1} and {name count others} lolled {product count products}.
en_US;201262fba5625f5b640d590af5fbc403;{name1} and {name2} lolled {product count products}.
en_US;22cf12dba0efe182458c2767384a0f68;{name} lolled {number} contents.
en_US;28b56c1c026c95ece50a7ccc305d3390;contents she lolled
en_US;2a150428d049fa2486fc6623ac23a6ab;{name1} lolled {content1} and {content2}.
en_US;2e076cd36f946a064a8b6888a5980488;{name1} and {name2} lolled at {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;308262955fc0812914ccad122adc57b2;a product they lolled
en_US;380ce72e9380abd31fca2e9687aaa813;{name} lolled at a product {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;3844833fb28cb4afdaf3c8e73e5a226c;{name1} and {name count others} lolled {product1}.
en_US;3c1c9673eaae5e550aaba007364e6511;{name1} and {name2} lolled at a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;3fdc85240b3446513ccdff203d811f1b;Lolled {product1}.
en_US;41190f294cd79d9b1a387ce88ac29a23;{name1} lolled a product.
en_US;436208a6a532c0b5dfb0d692e1009bba;a product {name} lolled
en_US;456724f2739ff52a804d9da35daf48a5;a content he lolled
en_US;46a4f7b4e7a689cfc1060d68ca2bb313;You and {name1} lolled this.
en_US;475adaf1e92cfeff215015e3e1e7fd37;{name1} lolled {content1}.
en_US;4ab0d3c612c1610bb62d9b0f541b7864;{name} lolled a product.
en_US;4d8e6b314a858cce8b97e1846678ce16;contents he lolled
en_US;4da9ce8bc30ffddc8440be0fb0f104e3;You and {name count} others lolled this.
en_US;50ff32baadec897dce709133c304d2dd;a content {name} lolled
en_US;543178fc2a6649e49aaaaa5f7b962e78;{name1} and {name count} others lolled this.
en_US;5957ce618b67da42f8515961a83d1576;{name1} lolled {product1} and {product2}.
en_US;5cc1b7d48abed2fc3a23780d72d8817a;{name1} lolled {content1} and {content count other contents}.
en_US;5db6b413d447917098e1eeff58b59a5d;{number} others lolled this. Be the first of your friends.
en_US;5fb0dd3a7f264bf5c6e19cbffc3c52d3;{name1} and {name2} lolled a product.
en_US;610cd1368b68be38ef117e7c21e578ac;{name} lolled a content.
en_US;61305c5fa62296bf6be37a18423334ca;{name} lolled {number} products.
en_US;647b6b85b08f9b0276f0d9c95e5ec7ac;products {name} lolled
en_US;650aa7435387604688ba48d962ef4885;{name1} lolled at a product {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;653f537ed69e2fc8feef86dca88d9f94;{name1} and {name2} lolled {content1} and {content2}.
en_US;679745e3d71aefa0383a272b46e0a9a9;{name1} and {name count others} lolled {content1} and {content2}.
en_US;74d7b40b8fd204e2f427d1b8ee63ad8a;{name1} and {name count others} lolled {content count contents}.
en_US;77f4b6ab356d4f2b12b360f39c884d93;{name1} lolled {product1}.
en_US;7854dc5d8f5dfcd990bd4abea84fb1ed;{name1} and {name count others} lolled at {product1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;7a263ecec8e4a630eeb4df6af3c5e981;You and {number} others lolled this.
en_US;7a27cdbab114b9557046afbefb503ccf;a product he lolled
en_US;7a74b135f945dd9052aac3728e28e82c;{name1} and {name2} lolled a content.
