Language;Hash;Sentence
en_US;00bb56258fc6559b4947e7c00eb10a35;{name1} and {name count others} needed {product1}.
en_US;07f86bb8d98bc26bf076ecc9bd2e833c;{name1} and {name2} needed {product count products} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;0d0b4a3e4248ae78c73c5994ab63fd0a;You and {number} others needed this.
en_US;17c63f1666013ce70c87625fa59e4d7e;{name1} needed {product count products} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;189c60a0cccba55ea948c3381d5f503b;a product you needed
en_US;1989eedc977e6bb5f9e0bc5811b9362a;{name1} needed {product1}.
en_US;205fc401eeeaaa9149c4485c39e7ee3b;{name1} needed {product1} and {product2} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;273bb5ae608b536bf2763fa19a221029;a product they needed
en_US;2841c0b5f79a32bf594f27ea9d005ac3;{name1} needed {product1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;2db6659eafbfded148e76d8ca8d69391;{name} needed a product.
en_US;30679cc91f3ba0f89893dde3bada090a;You and {name1} needed this.
en_US;318f828e355a952b32808488b38b4fbe;{name1} and {name count others} needed {product count products}.
en_US;37bbf28af821fc3671507183fc2f5175;{name1} needed a product {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;3810437d14002b6ab18c98ad45395976;{name1} and {name count others} needed {product1} and {product count other products}.
en_US;3bfc458bf1c16a82aa200fec841b889c;{name1} and {name count others} needed {product count products} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;3d00524fd24a49e8390e328663f96c0c;{name1} and {name2} needed {product1} and {product2}.
en_US;51e05308f9310d7839bcaec5c65f942d;{name1} and {name2} needed {product1} and {product count other products}.
en_US;54088964dc9855f58869e0d89574b981;products {name} needed
en_US;55e6bbf520e94173d6b1518e2ee0a4db;{name1} needed {product count products}.
en_US;5765df6a286da75f73fc1a5ae67872b2;{number} others needed this.
en_US;5f5de59461c18c0fac9926a1a4ab2191;products they needed
en_US;63186626d3e091ab906e882983e473dd;{name} needed a product {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;72f3d7fc396feb903afcb195bea99e4a;products she needed
en_US;7b7d38ed00d8ad85c48c42ad5fd7f28a;{name1} and {name2} needed {product count products}.
en_US;7e6f121b8930af56b2c466460c12dd48;a product he needed
en_US;84360a79c8d23f575d1099ccee89b0eb;{name1} and {name count others} needed {product1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;8db83671f9eb5ca118a0b08a6828eb2e;{name1} and {name count} others needed this.
en_US;90aa44beab32d72c5dc5a23fa2507f46;{name1} and {name2} needed a product.
en_US;962ef49cb5a179463edf18b41dca3438;1 other needed this. Be the first of your friends.
en_US;9684aeed372dd8bba726ae51a9cc7452;{name1} and {name2} needed {product1}.
en_US;976b6ab660b57bc8d09292425116f4a0;{name1} and {name2} needed {product1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;98cc3d51747791a96e3e24b604058eb1;1 other needed this.
en_US;b0d4d490d9ede35b430a499677e0fd98;{name1} and {name count others} needed {product1} and {product2}.
en_US;b81966afb31f94c3780c6274dc71b349;a product {name} needed
en_US;bbdb19d56b38a51951a549de80b44de8;{name1} needed a product.
en_US;c1b1daafb1fce03ddd16d132279b346c;{name1} needed {product1} and {product count other products} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;c40e6fb870516103f7b0357db5bde582;{number} others needed this. Be the first of your friends.
en_US;cde122052fdd6598d72e87705bf93a95;{name1} needed this.
en_US;d09c857a7cecf0e3ceabcae6118b0121;products you needed
en_US;daacb50b5cd2173f98f655942a03739b;{name} needed {number} products.
en_US;dbb1d74a4b3c8b06d90801f3f5756925;You and 1 other needed this.
en_US;de07e53fe458a35d04f2cbce7a477a9a;{name1} and {name2} needed this.
en_US;e37599dd9857df4ee5676facbf1b517a;products he needed
en_US;e552ef21ff2b867283667acebbbb7911;You and {name count} others needed this.
en_US;eb01d33c42efb07cc32e98cdbfcf963f;Needed {product1}.
en_US;ec13f56d5b85e125a5bc764a4a9d0f61;{name} needed {number} products {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;ec8f4c276a867d14082ab6434408586b;{name1} needed {product1} and {product count other products}.
en_US;ec962d5f68d594e74cf98aa7c94bb875;{name1} and {name2} needed a product {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;eeb7273942de0dd8e8a8d36b9d0b507c;You needed this.
en_US;ef2ba8f6a4204dad56ec0740fe2daa8a;a product she needed
en_US;f36c81961ae3a60891b01d175a1abe8b;{name1} and {name count others} needed a product.
en_US;f519f5cc054cf8432e80f27b692119cb;{name1} and {name count others} needed a product {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;f5d5f1b53789116bc3abae0ea923014a;{name1} needed {product1} and {product2}.
