Language;Hash;Sentence
en_US;01190e7e0d4c894bfb3d577fe0eceb72;{name1} and {name count others} suggested a content.
en_US;050d69ef0a9d747f398bf699746b8929;{name1} and {name2} suggested {content1} and {content count other contents}.
en_US;0619696d1d2fbe13fe3c91334efe5fe7;{name1} and {name2} suggested {product1}.
en_US;08209052d6b0affea914211022649fa9;contents they suggested
en_US;136b839117e1758e13ab4b6396d9fc58;{name1} and {name count others} suggested {product1}.
en_US;1568c65909feb98e4c04102570e2500b;{name1} and {name count others} suggested {content1} and {content count other contents}.
en_US;170b4508e749315179bc1d4e98f2f346;{name1} and {name2} suggested a product {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;195c62936d42eb440ad764f207e58c46;{name1} and {name2} suggested a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;23e694a7b8618f627e9309240eae1e0c;{name1} suggested {product1} and {product count other products} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;2672f3df94fc5a1883b318c58b6f05a0;{name1} suggested a content.
en_US;26767d37a0bc6815306c508e4efe1434;You and 1 other suggested this.
en_US;282918e19b6ae61b410b129e00979314;Suggested {product1}.
en_US;2839f99e0aba5eaed2db4aeccdd58714;{name1} and {name count others} suggested {product count products}.
en_US;2a0443cf7aadd9cb3d20a5e75e636945;a content they suggested
en_US;2fbf7a3398ebd9734f9fc42261fbf075;You and {name count} others suggested this.
en_US;2ff0bf64e4d62b05d506be1785ca939f;{name1} suggested {product1} and {product count other products}.
en_US;3238bbf633a23ec5a913c0cd64f8d10f;{name1} and {name2} suggested {product count products} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;3502a00726a360ea49e959f0528dfe95;contents you suggested
en_US;35be853daea36c276b0f2337e55abd82;{name1} suggested {product count products}.
en_US;3773490faad53107cc91708e12df97be;{name1} suggested {product1}.
en_US;3c57e9c939c0968fe3540f2e6eb1ee2e;{name1} and {name count others} suggested {product1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;3d9c5a26a2fe006a9a7630e313772b3d;{name1} and {name count others} suggested a product.
en_US;423292d08dafdae3c0006ce06c288f86;{name1} and {name2} suggested {content1}.
en_US;43b5b4d0a76873716514a2649a67a063;{name1} and {name2} suggested a content.
en_US;465875744a37ca518848894788576fda;{name1} and {name2} suggested a product.
en_US;47cb54a9a821baac23b38e90984899e9;a product {name} suggested
en_US;4991a0cd2d32fd9792817d5b71f28c06;{name1} and {name2} suggested {content count contents}.
en_US;49d4251a8f623fbdaad6900408009c38;1 other suggested this. Be the first of your friends.
en_US;4af023b3927af0cad0cde69d9b98dc1b;You and {name1} suggested this.
en_US;4b5736675355a01f62a9cd17778ba59f;{name1} and {name count others} suggested {content1} and {content2}.
en_US;4d8bc1a9cdada3fb575c92f79c61211a;{name1} and {name2} suggested {product count products}.
en_US;51a9f9f78127036cd16026b5af1a1110;{name1} suggested {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;556bbd1ba07321d238840fa538c44cd3;products she suggested
en_US;56cd97eb77e5e36315141b5fa33889e2;{name1} and {name2} suggested this.
en_US;579f1681b6c440bb22119f45315006cb;You and {number} others suggested this.
en_US;58c5c2e19b87a28ebce2d1b817f63870;{name1} suggested {content1} and {content count other contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;5d27c298bbf05747a079e4a4fdc06f7a;a product he suggested
en_US;60aafa20ab9381a286fe82a9829e9393;{name1} and {name count} others suggested this.
en_US;69ce9154490315ca7f3d3d0679a7b1ac;{name} suggested {number} contents {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;6b2c8432c337b5562609d52cb3f7eb59;a content he suggested
en_US;73bd9ffba04fc19816f5e9d8507be685;{name1} suggested {content1}.
en_US;79fd7b13b7dbaeb3ef6d5f0cd09bc506;{name} suggested {number} products {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;82ac40206907b230d962e610944c0d37;a content {name} suggested
en_US;86f2f998f1b4cfc46b1af0132eb5855a;{name1} suggested {product1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;8c33d06ac379d7edcf29b83691c2c8d0;{name1} and {name count others} suggested {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;8c997fab1bcc6d2354f49e962409360d;{name1} suggested {product1} and {product2} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;945d794bca3322745c2ec859d73d3e20;{name1} and {name2} suggested {content1} and {content2}.
en_US;949dd57d5c38e2685d5504728feb6079;1 other suggested this.
en_US;996c6147356d7c78a464f0dc11df7205;{name} suggested a content.
en_US;9a0b7242539ed74a196bb887b44210fd;{name1} and {name2} suggested {product1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;9a3cc16c2bda4267f2f43f787393190c;{number} others suggested this. Be the first of your friends.
en_US;9aba9ac93b876e2c093bdd26b7ba6549;products {name} suggested
en_US;a16b1dc4267964a049392262d46078cf;{name1} and {name count others} suggested {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;a547fc49db1db5170c0b9356d5fa04bb;Suggested {content1}.
en_US;a7e9548fff1038016ab8d5655bac0f71;You suggested this.
en_US;a86300a28acb80a0afd9c7258e1a30ef;{name1} and {name count others} suggested {product1} and {product2}.
en_US;aaab777eeca0144e5c0d8a00e8073d68;{name} suggested {number} products.
en_US;ad72f79256486afe35f07b1ccb1f15e8;{name1} suggested {product1} and {product2}.
en_US;aef2c9651fc5e795b7b6cfb39a8621a9;{name1} suggested a product.
en_US;b0efc8c0c9c701183d378b92db58cd59;{name1} suggested {content1} and {content2} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;badb80a06301b47a14b91f95f2fc1642;{name1} suggested this.
en_US;bde28cba219b32c78c25920c7bb30a91;{name1} suggested {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;bebb619d4cf8bf0bf59c2826ac2fd249;contents she suggested
en_US;befb526ca89b662eff9180cf609a0d8d;{name1} and {name count others} suggested {content1}.
en_US;c1aba7a9ed58fe726f2735b688a0fa02;{number} others suggested this.
en_US;c27aa8d76a1e6cd3754aea66fd73f077;a content she suggested
en_US;c6ee3c3280fd99cad70dbf223f928498;{name1} and {name count others} suggested {content count contents}.
en_US;c84fd86277df8b7f3e92a7c8caec959a;products they suggested
en_US;c937f054f511e5f908668ed820cf1b94;{name1} suggested {content1} and {content2}.
en_US;c9b3b96f4e4a72d2f40e458c820df0a2;{name1} and {name2} suggested {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;ca8ead497690524295aa9a4cf1a348d7;{name1} and {name2} suggested {product1} and {product count other products}.
en_US;d2a2b657ad38651b7a94e49041fea3e8;{name} suggested a product {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;d2e296f0ecdbd6728b9e503354aaab7f;products you suggested
en_US;d51057bfd149807295ab2047e69e8832;a product you suggested
en_US;d57a0e665f1c5500a4ca013df5717cdc;products he suggested
en_US;d90093ba27471f4b71eed8d1311f9c0f;{name1} suggested a product {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;d9f2662a86cfc7fb85cdb097e5249509;{name1} suggested {product count products} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;de582b05879ef382a862aed1b01d69d3;{name1} and {name2} suggested {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;e00f1bc4308b305cb6e135d2fc7154b0;{name1} and {name count others} suggested a product {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;e4533ab7f77ccaecb1f139b261a043ed;contents {name} suggested
en_US;e8f427325c351bf2ce071429734240c3;a product she suggested
en_US;ea247b4ac60924b1e0bafd0503771ee5;a product they suggested
en_US;ea4ef82dd722361a51aa142ca1a0f82c;{name1} suggested a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;eb10cc77e3e948b86311610fc2347247;a content you suggested
en_US;eb438cda734e693527e1eea2d15bd6fd;{name1} suggested {content count contents}.
en_US;ecaa26c78d9b050692c2f5c6957e50ef;{name1} and {name count others} suggested a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;ed05b79b865567ed321da2679250674c;{name} suggested a product.
en_US;ed5be2b9eb8e9398216c930d488a7a4c;{name1} suggested {content1} and {content count other contents}.
en_US;eea771e472730f205dd7f835b3e63de6;{name} suggested {number} contents.
en_US;ef543889dc2c7babf961965a3da69f09;{name1} and {name count others} suggested {product1} and {product count other products}.
en_US;f15d7bbd1840fe62447ed163fe2fc170;{name1} and {name2} suggested {product1} and {product2}.
en_US;f1b361598799c6ee7ba26a9ec885ba39;contents he suggested
en_US;f6b099ea10b53b3dd115e0ebd69c8eba;{name1} and {name count others} suggested {product count products} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US;fee26544043df89f592e38fcf5db3e08;{name} suggested a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.
