Language;Hash;Sentence;Context
en_US;004f70e98285e76b7354b346198aaffa;{name1} and {name count others} loved {product1} and {product count other products} on {megusta.do}.;
en_US;01a3d1db8e40a3cfe130a4ae7ffa29d3;{name1} and {name2} wanted this.;
en_US;0260d670c61f4c31bf2e544509000472;{name1} and {name count} others loved this.;
en_US;0262f143cefe7ead0a6a4794a2652b0f;{product count} products;In the phrase: "{name1} and {name count others} suggested {product count products} on {megusta.do}."
en_US;026a4bc285e459a1ed209505e8110482;{name1} and {name count others} wished for a product on {megusta.do}.;
en_US;026b62e3ed869a8b2072eef6138ddc86;{name1} is suggesting {product1} and {product count other products} on {megusta.do}.;
en_US;02809763922dcedb41e1be241a8e0790;{name} had a product on {application}.;
en_US;02e5df99f4b140fe42bea8876e573081;{product count} other products;In the phrase: "{name1} and {name2} are suggesting {product1} and {product count other products} on {megusta.do}."
en_US;0328894ae12405e190207a0f2b54664b;{name1} wished for {product1} on {megusta.do}.;
en_US;03581b267f4daee5823b1ffe0ff7e2e5;{product count} other products;In the phrase: "{name1} and {name count others} loved {product1} and {product count other products} on {megusta.do}."
en_US;0394ac9edba6fc591c1755fabeb9e027;{product count} other products;In the phrase: "{name1} and {name2} are loving {product1} and {product count other products} on {megusta.do}."
en_US;039cc1fb09a61f1cb87069b5d218c0e4;{name1} and {name count others} wanted {product count products} for birthday ({birthday}) on {megusta.do}.;
en_US;03ee1c0f943be87b1124499c0b60225e;{name1} is loving {product1} on {megusta.do}.;
en_US;0403fab403020177841c2089cb799bad;{name1} and {name2} wished for {product1} and {product2} on {megusta.do}.;
en_US;052d24cfe0c0ab8eb2f318bff2275f92;{name1} and {name count others} loved a product on {megusta.do}.;
en_US;05557c4e2f8a46bf65a77601a125c668;{name count} others;In the phrase: "{name1} and {name count others} are having {product1} on {megusta.do}."
en_US;05b48b484a2e128fffe2cf77b7b35ebd;a product he wished for;
en_US;05b78d7a1fd6a02184d2f3771f9e98df;{name1} and {name2} asked you for {=[count] contents and other requests}.;
en_US;05ddcb9691b2b7bd403fe0c60ba155fb;{name1} and {name2} loved this.;
en_US;0692eef059daabb5556f2cfd4aa2678d;{name} asked you for {=[count] products and other requests}.;
en_US;07453e9f4312b0cc2e2e967014d89918;{name1} is wanting {product1} and {product2} on {megusta.do}.;
en_US;07ea3e2787f74f0a711405c2a2f3a7da;{name1} and {name count others} are thinking about {product count products} on {megusta.do}.;
en_US;080a8c277882b35416b92d752f386e85;You and {name1} thought about this.;
en_US;08fa02a373c42bc1ffcfca0155232ee0;You and 1 other wanted this.;
en_US;091e268b646b60efd83b77e7d08ba32b;{name1} and {name2} sent you {=a content and other requests}.;
en_US;094ef7fd90d36c3cf221ffac444ceffc;{name} asked you for {=a product}.;
en_US;0960246544e618f7e735bb36e8303490;{name1} and {name count others} wanted {product1} and {product count other products} on {megusta.do}.;
en_US;0969b955746a97ef2e7e732644920442;{name count} others;In the phrase: "{name1} and {name count others} suggested {product1} on {megusta.do}."
en_US;0a3eb293596b3dc711e98860225eecab;a content and other requests;In the phrase: "{name} sent you {=a content and other requests}."
en_US;0adc4067b0c27065212e9fc6602a2164;{name1} and {name count others} are having {product1} and {product count other products} on {megusta.do}.;
en_US;0b219e7ec695f63a407863416a3060fc;{name} wished for {number} products on {application}.;
en_US;0bd835ab429bea6b23f0742f1d74d6e7;{name} sent you {=a content and other requests}.;
en_US;0beb6758fe06869f99fe14a7a151221c;{name1} and {name count others} are thinking about {product1} on {megusta.do}.;
en_US;0ca1a1b769cacacd8b597123dd8cf2e3;{product count} other products;In the phrase: "{name1} and {name count others} suggested {product1} and {product count other products} on {megusta.do}."
en_US;0d5cbf26e175fbbcfd55d036a6c73fdc;1 content;In the phrase: "{=1 content} sent by {name}"
en_US;0d6ab79e8c6ab3d02349e00039b7fb31;{name1} and {name count others} are wanting a product on {megusta.do}.;
en_US;0d88a16b54802ccd0266632c1cd90816;{name1} is wishing for {product1} and {product2} on {megusta.do}.;
en_US;0da5cd54fd1129bcf326f2bb3060a4d9;{name count} others;In the phrase: "{name1} and {name count others} wanted {product1} and {product count other products} on {megusta.do}."
en_US;0e43b5a44084d0630f04de4c23133fe8;{name1} and {name2} thought about a product on {megusta.do}.;
en_US;0ebcfb9d06e61c3d50c3430d6b30a0cd;{name1} and {name count others} are wanting {product1} and {product count other products} on {megusta.do}.;
en_US;0ec9eeac1c7a714c17bb8d36f835684b;{name1} and {name count others} are suggesting a product on {megusta.do}.;
en_US;0f926eb64abf2d441a58b6af312dcb9b;{name1} and {name2} suggested a product on {megusta.do}.;
en_US;0f9a24808340d55640c2de2b5e3a3295;{name} had {number} products.;
en_US;0fa9edb68493c0bb552d2ebd2fd693c8;{name1} and {name count others} loved {product count products} on {megusta.do}.;
en_US;1048c8df7611ca9ea93922eea0a4f8d3;{name1} and {name2} had {product count products} on {megusta.do}.;
en_US;10a875ac333314eaed1ead034bf0d609;{product count} products;In the phrase: "{name1} and {name count others} wished for {product count products} on {megusta.do}."
en_US;11107c4a4110014c0e625dccfac42593;{number} others wished for this. Be the first of your friends.;
en_US;1148a8e2e1125b0562956b86a11c253e;{name count} others;In the phrase: "{name1} and {name count others} thought about {product1} and {product2} on {megusta.do}."
en_US;114cfd47128a15d0085146871acd4151;{name count} others;In the phrase: "{name1} and {name count others} sent you {=[count] contents and other requests}."
en_US;116bd723530c2d004420e6f3083e4d2e;{name1} and {name count others} wanted {product1} for birthday ( {birthday} ) on {megusta.do}.;
en_US;1175823715e2f9435a3ebc1530fd52eb;{name1} suggested {product count products} on {megusta.do}.;
en_US;119b7eeeee975394bcdc4b7b482be4f3;products she wished for;
en_US;11c27d29d05eae684df32a0de88e5369;{name} is wanting {number} products on {application}.;
en_US;12214acb1b8821f54e87adaa3a2a13ef;a product you loved;
en_US;12f2a47deb6c0b9626464f6640e41a1b;{product count} products;In the phrase: "{name1} and {name2} are thinking about {product count products} on {megusta.do}."
en_US;139706b3cdeb9ced82330c8e66d81107;{product count} other products;In the phrase: "{name1} wanted {product1} and {product count other products} on {megusta.do}."
en_US;13993e76f1e27c650a49f6150787b5d2;{name count} others;In the phrase: "{name1} and {name count others} asked you for {=a product and other requests}."
en_US;144338706b795c88915540480741f5d2;{product count} other products;In the phrase: "{name1} and {name count others} are suggesting {product1} and {product count other products} on {megusta.do}."
en_US;14a0529ccc9dc870a2382b2560cd7c86;a product;In the phrase: "{name} sent you {=a product}."
en_US;14eb4a4e2c708b0887ef3cc20dd5c6a9;a content and other requests;In the phrase: "{name1} and {name2} asked you for {=a content and other requests}."
en_US;16031fe5253647c9b4a726929dee4752;{name1} is wishing for {product count products} on {megusta.do}.;
en_US;1730c0caf032de15c7d2da5fba718c10;{name1} and {name2} are thinking about a product on {megusta.do}.;
en_US;1742d0410e8421f5b43d684188e0cd48;{name1} is wishing for a product on {megusta.do}.;
en_US;180dc767df34cfeef36d22f825fb3db5;{product count} other products;In the phrase: "{name1} is having {product1} and {product count other products} on {megusta.do}."
en_US;183d04f55bd9a43740bc5c5f44875c65;{name} had a product.;
en_US;1867222a15801cd470ffab5b5fea8fbe;{name} is having {number} products on {application}.;
en_US;18a03991df8e7d6bb9c27c5237b2716d;{count} contents and other requests;In the phrase: "{name1} and {name count others} sent you {=[count] contents and other requests}."
en_US;18ba6228cd1c64efba63e56cc0d79ae7;{name1} and {name count others} sent you {=a product and other requests}.;
en_US;19245d6638fdb6de1c86d03c45ed4c20;{name1} and {name2} are wanting {product1} and {product count other products} on {megusta.do}.;
en_US;1957f8dc3a2206e0edc34af5e6aef500;1 other wished for this.;
en_US;19c6a7641f8b280419c268af282a8625;{name} sent you {=a product}:;preview of item that user gives to you in apprequest
en_US;1a835191dedda1d89ecf281f5b0e16e0;a product {name} thought about;
en_US;1ba085b400c4e55e40e9e099bbccbbe0;{name count} others;In the phrase: "{name1} and {name count others} wished for {product count products} on {megusta.do}."
en_US;1bae2842cf973b7a1236ac16766fd4e1;{name1} wanted {product1} and {product count other products} for birthday ({birthday}) on {megusta.do}.;
en_US;1bc3177b42e231a1d71df0af0cb346fa;{product count} other products;In the phrase: "{name1} and {name count others} thought about {product1} and {product count other products} on {megusta.do}."
en_US;1c39c79e16c58cc5fbdaf9667fa9a0b6;{count} products;In the phrase: "{name1} and {name2} sent you {=[count] products}."
en_US;1c3aae8967d63d832576982b64c8636a;{name count} others;In the phrase: "{name1} and {name count others} asked you for {=a content and other requests}."
en_US;1c5e6416f88c8da5237f03a8aea5ba00;{name count} others;In the phrase: "{name1} and {name count others} are wanting {product count products} on {megusta.do}."
en_US;1c6d314037b80f18188dc59f933ff329;{name1} wished for {product1} and {product2} on {megusta.do}.;
en_US;1cf262c89ba7a2d8583fb8b864edb39c;products they thought about;
en_US;1d0ced8fd825fda04da3f12b03dfd48f;{name1} and {name2} loved {product1} and {product count other products} on {megusta.do}.;
en_US;1e31876c1cfa98b6df374024bd560a0f;{name1} and {name2} loved {product1} and {product2} on {megusta.do}.;
en_US;1e7cb3960020e785ff6f9e4af860a361;{name1} and {name count others} sent you {=a content and other requests}.;
en_US;1e92e3727b52faaafe9ee084cfc84b41;{name1} and {name2} are wanting {product count products} on {megusta.do}.;
en_US;1f555a7f1294d080635b677ae5672412;{name count} others;In the phrase: "{name1} and {name count others} sent you {=[count] products}."
en_US;1f69f4ce09f3968c5bd9f2d0e0d1956c;{name1} and {name count others} wanted a product on {megusta.do}.;
en_US;1f771203cc7a6f62e2cf9c9df4e2dd06;{name1} and {name2} sent you {=a product}.;
en_US;1fe6328f3528def3ff543323ff8027af;Is wishing for {product1}.;
en_US;1ffbd9751c7927cd4bbb905ee9014834;{name1} and {name2} are having {product count products} on {megusta.do}.;
en_US;206d201bc8ffa198245bc5b306ce5e0f;{name1} loved {product1} on {megusta.do}.;
en_US;208a3fb081ce6adf19dbefb1e31b524e;a product you had;
en_US;20c22385c7c56264d9bf0489e4fa181a;You and 1 other thought about this.;
en_US;211ef109d894482d0ad8dbf7b564f211;{name1} and {name count others} asked you for {=a product}.;
en_US;218813622a98f0f81975fe27a2c09c5f;{product count} products;In the phrase: "{name1} wished for {product count products} on {megusta.do}."
en_US;21b822962cd4a48107fa8df5fccfbb93;products you wanted;
en_US;21e5a0498886d5d8931ba872a23e8a47;a product he thought about;
en_US;229fc75b1ae97e4c9cedf4af86ff3d0f;{name1} had this.;
en_US;22c3b467510763db22acaa727727d1a4;{name count} others;In the phrase: "{name1} and {name count others} loved {product1} and {product2} on {megusta.do}."
en_US;23a305204bbbbd3c627870df8e2150f4;a content and other requests;In the phrase: "{name1} and {name count others} sent you {=a content and other requests}."
en_US;23ca8d077114bc2b48f54d7022240346;{name} is thinking about a product on {application}.;
en_US;23e7cbd055f3cd5cd6ffeb995ed82e9a;{count} products and other requests;In the phrase: "{name1} and {name2} asked you for {=[count] products and other requests}."
en_US;2437205e7597f552ba2200bd0ae4f8e7;{product count} products;In the phrase: "{name1} thought about {product count products} on {megusta.do}."
en_US;248e8bab76c391bb46e5ca03eee2b142;{product count} other products;In the phrase: "{name1} and {name2} are wanting {product1} and {product count other products} on {megusta.do}."
en_US;24cb945c213b2c6177796c1d811423fc;{count} products;In the phrase: "{name} asked you for {=[count] products}."
en_US;24d8a206fb462fa049fd6298ef5fac34;{name count} others;In the phrase: "{name1} and {name count others} loved {product1} on {megusta.do}."
en_US;24e50e5e42d4b774e4a003a7cd7b20c6;{name count} others;In the phrase: "{name1} and {name count others} had {product1} and {product count other products} on {megusta.do}."
en_US;254bdc78435cb2c2cba729f219188e2d;Be the first of your friends who is wishing for this.;
en_US;25afacd2aea7b46bb9c8d08eb74c0515;{name1} is thinking about {product count products} on {megusta.do}.;
en_US;25c8ec0561feb6651330341b58fdc4ed;Be the first of your friends who is thinking about this.;
en_US;2650bd3c110abc81cd139964497e3934;{name count} others;In the phrase: "{name1} and {name count others} wanted a product on {megusta.do}."
en_US;26767d37a0bc6815306c508e4efe1434;You and 1 other suggested this.;
en_US;26a0a99d8eb3e860c631e6ce0498d295;{name1} and {name2} thought about {product1} on {megusta.do}.;
en_US;271e0c8102219bdb580be9ad6ff60bc6;{name1} and {name count others} suggested {product1} and {product2} on {megusta.do}.;
en_US;282918e19b6ae61b410b129e00979314;Suggested {product1}.;
en_US;28594b0c66cde05f4ef0488ca8e9b7a2;{product count} other products;In the phrase: "{name1} and {name2} thought about {product1} and {product count other products} on {megusta.do}."
