Language,Hash,Sentence,Loc,Translated Sentence
en_US,035ff2d741954570d06671fbbf0cd669,{name1} disagreed with {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} no está de acuerdo con {content1} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,085a9cd680d2584a342aedd83d1adf04,{name1} and {name count others} disagreed with {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} y {name count others} no están de acuerdo con {content count contents} {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,10b9686c93a8e78330a3a3ba1fd5c318,{name1} and {name2} disagreed with this.,es_ES,{name1} y {name2} no están de acuerdo con esto.
en_US,1929d4d9dacc37c23054810f104419be,{name} disagreed with a content.,es_ES,{name} no está de acuerdo con un contenído.
en_US,1daef2b980aef3e8f393f95415c1d3db,{name1} and {name2} disagreed with a content {sent_aux_a} {sent_aux_b} {sent_aux_c}.,es_ES,{name1} y {name2} no están de acuerdo con un contenído {sent_aux_a} {sent_aux_b} {sent_aux_c}.
en_US,1ea9dc19adec53aeda2068f5078e40d7,You and {name count} others disagreed with this.,es_ES,Usted y {name count} otros no están de acuerdo con esto.
en_US,24c9a63801d92e1d679ae86022b7e45b,{number} others disagreed with this. Be the first of your friends.,es_ES,{number} otros no están de acuerdo con esto. Sé el primero de tus amigos.
en_US,26feabb6fb37a1084ed6969345bb404c,You disagreed with this.,es_ES,Usted no está de acuerdo con esto.
en_US,29199f65629608e2863b22fd23dbd6f7,a content {name} disagreed with,es_ES,Un contenido en el que {name} no está de acuerdo
en_US,2e02b8273c4fe15d804a971d55c7ce48,{name} disagreed with {number} contents.,es_ES,{name} no está de acuerdo con {number} contenídos.
en_US,340b417d4c175d4681cd3122f590b0ca,Disagreed with {content1}.,es_ES,No está de acuerdo con {content1}.
en_US,36ededd7496c6686d05cd7331275de6b,{name1} and {name2} disagreed with {content1} and {content count other contents}.,es_ES,{name1} y {name2} no están de acuerdo con {content1} y {content count other contents}.
