Language;Hash;Sentence
en_US;03e70af99ddf548187f0a90c65e3bc3d;{name} applauded a content.
en_US;0ad1eeb4b3c6297f877c92f064a30546;{name1} and {name count others} applauded {content1} and {content count other contents}.
en_US;0af81fb8ca3b34139e685e8029260c1e;a content they applauded
en_US;0dff5c17c2c568390fcad5ec5b4ea7b1;contents you applauded
en_US;0e34e65910d0a84a354b580f0e04b2f2;{name} a content applauded
en_US;0e7a656982de9b451d737fd1b1259acc;a content he applauded
en_US;10eda0dba01178265f8a760005c5a739;{name} applauded {number} contents.
en_US;1318888f4df5cbb7377bdebf3234aac7;{name count} You and others applauded this.
en_US;14b3ff867eb435583c17674360da0eb8;{name1} and {name count} others applauded this.
en_US;2a0ff34a8cb12434e7393c1b54e48c36;{name1} and {name count others} applauded {content count contents}.
en_US;38a803e257f6754125ac267e665aa45d;{number} others applauded this.
en_US;3e21037bd8da8e6319f113921d40775f;{name1} and {name2} applauded {content count contents}.
en_US;50f46ec77235f80b7429cd5f8754268d;{name1} applauded {content1} and {content count other contents}.
en_US;5876457a643932dc5d395b579876ae40;contents she applauded
en_US;5d9c3780f62785914fff73a020837379;You applauded this.
en_US;6fd3c1a5b9f484701ff7194e15df45b1;{name1} applauded a content.
en_US;767bbf8929e02c5303a4d31327eb2705;{name1} and {name count others} applauded {content1} and {content2}.
en_US;79d1391bdc2a6b1c051b1ea100f05247;{name1} applauded {content1}.
en_US;848e69cdd842ce3f7f726b651f5ca716;{name1} and {name2} applauded {content1} and {content count other contents}.
en_US;84d90d3d660935e4cf24ff88c1e7dc36;{name1} applauded this.
en_US;881124f23cb5a7416f817e16210fe9dd;{number} You and others applauded this.
en_US;88c0db8328b09ff004c6b4d501e8a648;{name} contents applauded
en_US;8fbe5dd260395af0e3df789e2f5ac7c2;{name1} You and applauded this.
en_US;9ee864da5449178bc2652ec7078f778d;{name1} applauded {content count contents}.
en_US;a0ec0b22877cffa7118840389b4dd950;contents he applauded
en_US;a98fef801a0eccd19dd0d917601fc3db;{number} others applauded this. Be the first of your friends.
en_US;af9526e58de57cd85380301d786095f9;a content you applauded
en_US;c25906bc401dff0a68d8d1c919b17590;{name1} and {name count others} applauded a content.
en_US;c2d666b259bcea1f18ad7efcf91a7fd3;contents they applauded
en_US;ca14a37fd7ee4458b0d598349c1abf14;{name1} and {name2} applauded {content1} and {content2}.
en_US;cfcda9d68bbd22d106d076e4c2c7d943;{name1} and {name2} applauded this.
en_US;d1851d3a39fc8352242c98996dee814e;{name1} applauded {content1} and {content2}.
en_US;d8266bdf9e08251cea508a736683a63b;{name1} and {name2} applauded {content1}.
en_US;e71d3b2653915fa62b3f6ce00f01f81c;{content1} Applauded.
en_US;e7f1d4f29690d7661fb7470715e99887;a content she applauded
en_US;e8921db4482180cc1c82af9484b5e3d5;1 other applauded this. Be the first of your friends.
en_US;f3cfbb379b7a8ab68daddbfca45c2d57;1 other applauded this.
en_US;f43b87288f62e4c5a46c2a0faddae361;{name1} and {name count others} applauded {content1}.
en_US;f85413aa78532e38641d35a5b99c0ac7;{name1} and {name2} applauded a content.
en_US;ff2db8674a3abc1ec8aa3a4befa6774a;You and 1 other applauded this.
