Language;Hash;Sentence
en_US;0007305bc423f7a33ff197288b09c9d9;{name} a product fancied
en_US;09c3ed4dd25d04051c19f1cd71d39ff8;{name1} and {name2} fancied {product count products}.
en_US;10ed75ae180f76d782cafb3347ef9905;products they fancied
en_US;1108b0fe0b0b959bc473e1910c5f43f0;You fancied this.
en_US;147986a7a48ff009e7d93d22791e9b0a;{name1} fancied {product1}.
en_US;19d08474cf96b89e27ce0f4f89b4ee96;a product you fancied
en_US;23746f05cd63beb81ca8ed92faba35cb;{name1} and {name count others} fancied {sent_aux_a} a {sent_aux_b} product {sent_aux_c}.
en_US;33a996546152a45ea1139e0eb7e33214;{name1} and {name count others} fancied {product count products}. {sent_aux_a}
en_US;41a6ec31dedac2d6b739976a0412b010;You and 1 other fancied this.
en_US;47fb99b1ebdaa201732fea78b04af940;a product they fancied
en_US;4c2a17093fed08338d516e6e8972c873;{name1} fancied {product count products}. {sent_aux_a}
en_US;4d4df12eb1848d41001d01ebda69b0df;products she fancied
en_US;4d5fe6d286a7c39fdf6f36493222eed8;{name} products fancied
en_US;55ceeb341e140ebb02b21cbb5e08b3a1;{name1} and {name2} fancied {product1} and {product2}.
en_US;55f017553595eaa584707a8d5e3b5b16;{name} fancied {number} products.
en_US;599bda1b144c7225f562339ea050ccbc;{name1} and {name count others} fancied a product.
en_US;5b96bb73179f5257d7f1e13b0426e020;{name1} fancied {product1} and {product2}. {sent_aux_a}
en_US;5bc74687cbd7154dd018ebd100fd8729;{name1} and {name2} fancied {product1}. {sent_aux_a}
en_US;622e86ae2de6630c3cc54890ea15d63f;{name1} and {name count others} fancied {product1}.
en_US;675dc8470423355d8dc533695c1fb9c3;{name1} fancied {product1}. {sent_aux_a}
en_US;6a8d21f7f3275dad4ab34570f13f827e;{number} others fancied this.
en_US;70e32f8566c4f9bb7d2d368ffe53ed35;{name1} fancied {product1} and {product count other products}.
en_US;726a176cbf4b298f060fe0f3efca4bc7;{name count} You and others fancied this.
en_US;73a7bd209e52b7616e9c7410c9ff17b1;1 other fancied this. Be the first of your friends.
en_US;75b3a83f34abffaeba4a67722948c48c;{name} fancied {number} products {sent_aux_a}. {sent_aux_b}
en_US;7f3fd4042d56a6c19dda0ea933c6b1e5;{name1} and {name2} fancied {product1}.
en_US;82713b5f53f6a70f92a6a24564046987;{name1} fancied {product count products}.
en_US;8a6db28a2f27a00203ffbf72666ff6b1;{name1} and {name count others} fancied {product1} and {product count other products}.
en_US;8e43b45f1fc91e8998c353ca99bf425b;{name1} and {name count} others fancied this.
en_US;940dc56379132d0588469a56ca9eedbf;{number} others fancied this. Be the first of your friends.
en_US;9d0475fed12fe7019a6b6f593fec6df7;{name1} and {name count others} fancied {product1} and {product2}.
en_US;9d17e4cbcdbb02f8fa14c66a8cc8dd31;{name1} and {name2} fancied {product count products}. {sent_aux_a}
en_US;a15471155c3e19293269121d892c2b7c;{name1} fancied a product.
en_US;a4ea061fd3999b83f4f281082664f8ec;{name1} and {name2} fancied this.
en_US;a877b55280c142ad5210a6227916a7b1;{name1} fancied {product1} and {product count other products}. {sent_aux_a}
en_US;b11ad278e6232f1681af7fa948dce90f;{number} You and others fancied this.
en_US;bd0049363601e06081776f16f2333a6c;products you fancied
en_US;bfa56b5d79f3ba514f8afe856ce80988;{name1} and {name2} fancied {product1} and {product count other products}.
en_US;c2bc8d60fd9442f4669812dbe4830fc3;{name1} and {name2} fancied {sent_aux_a} a {sent_aux_b} product {sent_aux_c}.
en_US;c5617214a5116841ffe4736d79ac56a8;{name1} You and fancied this.
en_US;ccd8684e6355716c341f8ef3ac559cb9;{name1} and {name2} fancied a product.
en_US;d139a37034ef603d437f181a902ba64f;{name1} and {name count others} fancied {product count products}.
en_US;d95923d37f1b38ecbf387b388d08397f;{name} fancied {sent_aux_a} a {sent_aux_b} product {sent_aux_c}.
en_US;eb2607a48202737cc87c1eeb26e7a04f;products he fancied
en_US;ed12c825b931bb1fe3455bfed395a493;{name} fancied a product.
en_US;ede2c57e3509b163277009739392c669;{product1} Fancied.
en_US;efdbd6c225c7e599b6f5c683ca38f814;a product he fancied
en_US;f191ef41824706374906bf90596de5da;{name1} fancied {product1} and {product2}.
en_US;f2dd347c5852917e2b50c2d1c95fdd36;{name1} fancied {sent_aux_a} a {sent_aux_b} product {sent_aux_c}.
en_US;f3825958cd61242c27b6be1030a03235;a product she fancied
en_US;f4942c6662e4ca336c714b1faf6882ee;{name1} fancied this.
en_US;f92497e0941d4025fe185d6a96715c66;{name1} and {name count others} fancied {product1}. {sent_aux_a}
en_US;fbfe049e46ff5308a0547ca8c59cb50b;1 other fancied this.
