Language;Hash;Sentence
en_US;0260d670c61f4c31bf2e544509000472;{name1} and {name count} others loved this.
en_US;0272499ff20802a1bc1246bfc12136bb;{name1} loved {content count contents}. {sent_aux_a}
en_US;04b7edbfd839bba7d53bf7fbbec224a2;{name} loved {number} products {sent_aux_a}. {sent_aux_b}
en_US;05ddcb9691b2b7bd403fe0c60ba155fb;{name1} and {name2} loved this.
en_US;084d142017fbd9a4571d562215944d71;{name1} and {name2} loved {content1}. {sent_aux_a}
en_US;08db1da796155a25abb84d9ac15f35bf;a content you loved
en_US;0bf78d0eb84776e11327ce037e52e009;{name1} loved {product count products}.
en_US;0defdd4366275213ee95a66edb68a406;{name1} and {name2} loved {content count contents}.
en_US;12214acb1b8821f54e87adaa3a2a13ef;a product you loved
en_US;189a035f359414b1f15d2d3098b13835;{name} contents loved
en_US;194b24a67970cee51a6869b49052203e;{name1} and {name count others} loved {product1}.
en_US;20331e24a49c80d40afcb74d2947ad54;{name1} and {name count others} loved {product1}. {sent_aux_a}
en_US;2553d8b67d41885131a5a03e7f3a7776;{name1} loved {sent_aux_a} a {sent_aux_b} product {sent_aux_c}.
en_US;28f631198576d3f0b87d6ec5544cb3c4;{name1} and {name2} loved {product1}. {sent_aux_a}
en_US;2c2c0d298e4d91f2114bb2d9546a8b21;a product he loved
en_US;3d111343d59e9ff54d2aa63aa1a9cbe8;{name1} and {name count others} loved {content1} and {content2}.
en_US;3d64b03ab64c3968395adfcfeeacc9b6;{name1} and {name count others} loved {sent_aux_a} a {sent_aux_b} content {sent_aux_c}.
en_US;3dc51042317e1ea2211d6f50cf16c140;{name1} and {name count others} loved {content count contents}.
en_US;403cdfc881a0d69e341f52745204f88f;{name1} loved {content1} and {content2}. {sent_aux_a}
en_US;409e95ce37f81cffd61cf3cb81a1ad0f;You and 1 other loved this.
en_US;414ba851c6c6d691a8f7d416de051992;{name1} loved {content1} and {content count other contents}.
en_US;423ec9c811fd70e950cda6003abf1589;{name1} and {name count others} loved {product1} and {product count other products}.
en_US;435b87a83cf90506df8e4889878c8bb2;{name1} and {name2} loved {product1}.
en_US;437e195e96915727d11eeba1c5e6f89e;{name} loved {number} contents {sent_aux_a}. {sent_aux_b}
en_US;43fae09b507203581d9ecca383513fe8;{name} loved {number} contents.
en_US;461ad2620e58f0a4b2affc0578d0c3ae;{name1} and {name count others} loved {product count products}. {sent_aux_a}
en_US;49af84bbd5889445b12354e067f620cc;{name1} loved {product1} and {product2}. {sent_aux_a}
en_US;4b3e18abc6b87a77763159355bcf7e5b;{number} others loved this.
en_US;4bb06206285034b7166492bc73da3505;a product she loved
en_US;4cbecbe817b4853409efb83f53b058d0;{name} loved {sent_aux_a} a {sent_aux_b} content {sent_aux_c}.
en_US;4d6a87ad507d28772ddb35597cbb32c2;{number} others loved this. Be the first of your friends.
en_US;55581e1b37392cedf0b7b4d80f1bd5d0;{name1} You and loved this.
en_US;59909bde5c5dec0eee316a15bf586996;{name} loved a product.
en_US;5e87cb00c5e855ad394752ddfc687431;{name1} loved {product1} and {product count other products}.
en_US;5f37b7c4b74bd7f918148ce381d34ae6;{name1} and {name count others} loved {content1} and {content count other contents}.
en_US;5f73696cc99685ddb74322eeeb1c0e07;{name1} and {name count others} loved {product count products}.
en_US;615f173c6fce073369f225e443649f67;1 other loved this. Be the first of your friends.
en_US;65438c089feb5557cfc3aaf7f5cd732c;{name1} and {name2} loved a product.
en_US;6924f4b2910fc9cdac376bb56b3c7b2d;a content she loved
en_US;69d61aa5b135306e33a9b4f3f9fb5bdb;{name1} and {name count others} loved {product1} and {product2}.
en_US;6bb78b16fc6949ee85589e9238969e3d;contents he loved
en_US;6eb16b04b44a82a28d52039f65cadd9d;{name1} loved {content1} and {content2}.
en_US;7023f6aadf030f98c9f4d51637ef06a7;{name1} loved {content1}.
en_US;71d7af04aa13820485d7bf934cb4462c;{name1} and {name count others} loved {sent_aux_a} a {sent_aux_b} product {sent_aux_c}.
en_US;71ffcc1534fe4f3dfec7e409084ecde7;{name1} and {name count others} loved {content1}.
en_US;7255d05c119d6572e4e17765de965e7b;{name1} and {name2} loved {product count products}.
en_US;72665fe119887cfc4f10530bc608b54c;{name1} loved {content1}. {sent_aux_a}
en_US;785ec38926bc95cf39691dd882387b5c;{product1} Loved.
en_US;85e43325ed156be5beffd642fde0d871;{name1} and {name2} loved {sent_aux_a} a {sent_aux_b} product {sent_aux_c}.
en_US;8601f527f7e4dd41a45127d28a474c40;{name1} and {name2} loved {product1} and {product2}.
en_US;968ce4a3128fcbe0468bdcd7197bc87d;a product they loved
en_US;9dcd94d08ad4e1384122f069ff9b716a;{name1} and {name2} loved {sent_aux_a} a {sent_aux_b} content {sent_aux_c}.
en_US;9f23976aa4da9302239b6d5c03a26a66;{name} a product loved
en_US;a4a4db6c53cb98e9764864b727275e7a;{name1} loved {sent_aux_a} a {sent_aux_b} content {sent_aux_c}.
en_US;a92ac2fbc922da7e42622d1b42868db0;{name1} and {name count others} loved a product.
