Language;Hash;Sentence
en_US;0c920aa3a906ca3c46d4bf574f07a40d;{number} others protested this. Be the first of your friends.
en_US;12aad252c99f6cd83de26bc0fabad447;{name1} protested this.
en_US;14d0e002a95999f1c60af569508a3a75;{name1} You and protested this.
en_US;18f166b84e2c0f498e711d820dede87f;{number} You and others protested this.
en_US;2c45a5f2f0389ed74da7b22afd4978ea;{name1} and {name2} protested {content1} and {content2} on {GetSocial}.
en_US;2e83e5967c88a0c3da3846bee77c8686;{name} protested {application} a content on.
en_US;34225cc3bd8a8fc4b839355c89538f2d;{name} protested {number} contents.
en_US;351b624099b6afaf5e4dc9e80ca5af08;{name1} protested {content count contents} on {GetSocial}.
en_US;3918299f5d88417756f410da3e3d6be9;{name1} protested {GetSocial} a content on.
en_US;39787052dc8bf535b008fcf7f0cd8679;{name1} and {name count others} protested {content1} and {content2} on {GetSocial}.
en_US;484bc0cf17d86aa335ebe7e1b97de9a7;{name1} and {name count others} protested {GetSocial} a content on.
en_US;485b487f79d615fa6ae700d4b52458c8;{name1} and {name count others} protested {content count contents} on {GetSocial}.
en_US;4b4cfd5c5fc8ac22b01a258566d7f8bc;a content he protested
en_US;5598d8fd48a96e95b6ea1ffae6137d8d;contents she protested
en_US;5aaac328dbb4760aae1f57168b45aa40;{name1} protested {content1} and {content count other contents} on {GetSocial}.
en_US;6142011d88fd4bd86711267c0b31767a;1 other protested this.
en_US;646c515b5309d8e9a332cb06a4c59b92;{name1} and {name2} protested {content count contents} on {GetSocial}.
en_US;6561443c2d0b6d4a3c64bcbf5a522568;a content you protested
en_US;6e8f1df7d570262fa36460ce99c44ea0;{name count} You and others protested this.
en_US;71025283c3743309f495aa7e4284d70f;{name1} and {name2} protested {GetSocial} a content on.
en_US;72cdae263375206bb22797a8daaaf484;contents you protested
en_US;77f9cd3f3381169213752c9280e5ec96;{name} contents protested
en_US;78059763084f0ed7e8d5fb3aac359cff;a content she protested
en_US;9dfecc669c16ff4f79de4105b37910ff;{number} others protested this.
en_US;9faf356834c08c66e7a6c120cbe547b5;contents they protested
en_US;aa638163dd5d38c73e32a2c0d5c9c5db;You protested this.
en_US;aa67cdd6139b7bd69b3b3fe912ba309d;{name} protested a content.
en_US;abf89872e81437c91571b3b1a6a13d59;You and 1 other protested this.
en_US;ae19dff5169e6b3a575591888af46baf;{name1} protested {content1} and {content2} on {GetSocial}.
en_US;ae80e5ec536ae4dc696e64310f75f596;{content1} Protested.
en_US;b8e94fc8cf92f4f85c7b4724063d9bae;{name1} protested {content1}.
en_US;baa4967212a02713087d0834b8a6f361;{name1} protested {content1} on {GetSocial}.
en_US;c5e227227549fb2285832d4592315d00;{content1} Protested {GetSocial} on.
en_US;c80349c60e671edb692b30b6bf59e6f2;{name1} and {name2} protested this.
en_US;d0ad67af9873e98b32ec96bd8ff87002;{name1} and {name count others} protested {content1} on {GetSocial}.
en_US;d0fb5306a8bbdbade38e3a75782ca7b8;1 other protested this. Be the first of your friends.
en_US;d924871a58e39c808721b1d4bae88709;{name1} and {name count others} protested {content1} and {content count other contents} on {GetSocial}.
en_US;da32a3064b682b72daeb4da4170130f9;{name} protested {number} contents {application} on.
en_US;dc2aaea0a06b25e27f3b39d06a729415;a content they protested
en_US;e96add56795557c5995430665fae0770;contents he protested
en_US;f0dcc639a461d6e9541bcbe200efc4c9;{name1} and {name count} others protested this.
en_US;fad4ddc2b0d60ff74508894a4c57af16;{name1} and {name2} protested {content1} on {GetSocial}.
en_US;fc27e03ea7fa3e7c524316a1e7dfd257;{name} a content protested
en_US;fff7ec1fa602d2f102ce51f8bd63d9fb;{name1} and {name2} protested {content1} and {content count other contents} on {GetSocial}.
