Language;Hash;Sentence
en_US;03046ebf58b78422b17f33c2896fb7e9;You and 1 other smiled this.
en_US;098bd7c1a8d20c2f39fdefcf5f1f3e06;{name1} and {name2} smiled {content count contents} at {sent_aux_a}. {sent_aux_b}
en_US;0ad5eb57d5c66ec45cc66186f26038ab;{name} smiled a content.
en_US;0b54977744bf4cd8144ee3d91715e06e;{name1} and {name2} smiled {product count products}.
en_US;0b937a3b4476eae276237296333b3ca0;{name1} smiled {content1} at {content2} and {sent_aux_a}. {sent_aux_b}
en_US;0da9e498adda3632cf1cb30f134fec20;{name1} and {name count others} smiled {content1}.
en_US;0eae213321984f725c9484ed534bdf6a;{name1} smiled {sent_aux_a} at {sent_aux_b} a {sent_aux_c} content.
en_US;0fc5b0aebf0e93b6aeccdfb82922523b;{name1} and {name count others} smiled {content count contents} at {sent_aux_a}. {sent_aux_b}
en_US;137fa2a5eb15ce0b5fe58500f34199c0;{name1} and {name2} smiled {sent_aux_a} at {sent_aux_b} a {sent_aux_c} content.
en_US;16f3785cc23ad198791938e098e278ea;{name} contents smiled
en_US;16f98638abf7384cb53417e48ff86ab0;{name1} smiled {content1} at {sent_aux_a}. {sent_aux_b}
en_US;1d1084ece2ef81843bc7cdfbdfdf8f6e;{name1} and {name count others} smiled {content count contents}.
en_US;1d628b5c59a2dea2efd72d3a30b8b0ed;{name1} and {name count others} smiled {content1} and {content2}.
en_US;25975165d28f2d7032a0b009b953298c;{name1} smiled {product1} and {product2}.
en_US;260bd43562824312aa0fb66eec8959b7;a content she smiled
en_US;31bcbed51b53e444fd74c888739a0f7c;products she smiled
en_US;34b00f8fc67d08ae530e7d3d4db111c0;{name1} and {name2} smiled {content count contents}.
en_US;373b51ef7c6c69554ce824b11df24802;{name1} smiled {product1} at {sent_aux_a}. {sent_aux_b}
en_US;3795b714dc0f1aae7006fc6894a3ee54;{name1} smiled {content count contents} at {sent_aux_a}. {sent_aux_b}
en_US;380e2096b40c96e0300b52dd23e6d372;{name1} and {name count others} smiled {product count products} at {sent_aux_a}. {sent_aux_b}
en_US;41fee366b04c5438e4d1ab01979a568f;{name1} and {name count others} smiled a content.
en_US;421bd39dfe85b366d3f4f69859a97307;{name1} smiled {product1} at {product count other products} and {sent_aux_a}. {sent_aux_b}
en_US;441c31e360b7f93964fa9433086093b9;a content he smiled
en_US;442767a77f226e8e39adfd83abb9f286;{name1} and {name2} smiled {product1} and {product2}.
en_US;4caf7d4ac1f230088101465a624d4d61;{name1} and {name count others} smiled {product count products}.
en_US;52a244d95ea4978319f0a7b1f5fe0159;a product they smiled
en_US;52bd1e5395e7be1997ad2918c7d1d4aa;{name} smiled {number} at {sent_aux_a} products {sent_aux_b}. {sent_aux_c}
en_US;57ed1c842237a7dce156d9aaf51058de;{number} others smiled this. Be the first of your friends.
en_US;5c9de3a4033f51473ffcddc78990855f;a product she smiled
en_US;5d3770cf17fb77e0bd019074da0c1251;{name1} and {name count others} smiled {sent_aux_a} at {sent_aux_b} a {sent_aux_c} content.
en_US;61d832c3150d7da1af83b085d33ab31c;{name1} and {name2} smiled {content1} and {content2}.
en_US;62ad5f094400aa0c9010cd362bf2c463;{name1} smiled this.
en_US;6389a6c308d3d893a5e5763670e38565;a content they smiled
en_US;6b0a8732b2a56fafd9df5a6e2384cd5b;{name1} smiled {product1} at {product2} and {sent_aux_a}. {sent_aux_b}
en_US;6bd2924b36e474c0ff06cb14ba16bad0;{name1} and {name count others} smiled {product1} at {sent_aux_a}. {sent_aux_b}
en_US;6c83c6c101f58fbdbe8c3242c5307a6a;{name1} smiled {product count products}.
en_US;7062484c755a9b1f7c5f94159276936b;{name1} and {name count others} smiled {product1} and {product count other products}.
en_US;7243421f9636f159587fbfbee21b049f;contents you smiled
en_US;72df680f910cd31303802e3a221c7a53;{name} smiled {sent_aux_a} at {sent_aux_b} a {sent_aux_c} content.
en_US;75323ca64c3d441862d3e9767fc1ef33;1 other smiled this. Be the first of your friends.
en_US;84f6456ec07f54510d5f52058a2f7640;{name1} and {name count others} smiled a product.
en_US;8de5994ac73d1fc70456ec1b2ce94253;{product1} Smiled.
en_US;90c6273b71656bf787e7191bebf52621;{name1} smiled {product1} and {product count other products}.
en_US;911cbe8c44d264899a7b83868a04f5c5;{name1} and {name count} others smiled this.
en_US;92dc73e6f540effcc02b1609c031c14b;{name} smiled a product.
en_US;9379cb6e5baf1325cabc9fbf71726bf2;{name1} and {name count others} smiled {content1} at {sent_aux_a}. {sent_aux_b}
en_US;94ea30b3d7d6a82588ebc0e3beb852d7;{name1} and {name2} smiled {product count products} at {sent_aux_a}. {sent_aux_b}
en_US;972ebe4963fd53512b18317398d8a38d;1 other smiled this.
en_US;975895f35d60559f444e1784fd0b1315;{name1} and {name2} smiled {content1}.
en_US;9b256f3c1dd7ff34b7df1640fa5f2d58;{name1} and {name2} smiled {product1}.
en_US;9d2e6424f96a1b83f21afd03ff289722;{content1} Smiled.
