Language;Hash;Sentence
en_US;06480d5b71dfef7c8569cba64f427eef;{name1} supported {content1} and {content2}. {sent_aux_a}
en_US;0669ced7c2caba29da8868369e7e9990;contents he supported
en_US;09c9ba6aedcb60f8513131d4d4124a5f;{name1} and {name count others} supported {content count contents}.
en_US;09e13a93ccb75856b59272a2025c1f30;a content they supported
en_US;0ad856edd8f4637e971d706d5ec6dd10;{name1} supported {content1}.
en_US;0ba70b88709f2e82ab236d1b6a1893b6;{name} supported a content.
en_US;0fbf39a4cbdcb17aed4a4e2bde6d1f40;{name1} supported {content count contents}. {sent_aux_a}
en_US;0fcc1c9b9b74f9695f833d9758ef91bc;{name count} You and others supported this.
en_US;115ed9544a595953db64608a844a2b3e;{name1} supported {content1} and {content2}.
en_US;129dc21ebf6398b5a0acfdd66d056283;a content she supported
en_US;12ec51bc8fdb7e762f664df3c54cb033;{name1} supported {content1} and {content count other contents}.
en_US;1d4493a10314e76bdc8a29ff2fa745de;{name1} supported a content.
en_US;25cac312a6d5d8bd9930fb16fde8faaf;{name1} and {name2} supported {content1}.
en_US;2a0dfb7a0cde5b9263b09a02238fd0fc;You and 1 other supported this.
en_US;3430535da2d90dbfa7010af70aa904ec;contents they supported
en_US;3a9724b961df7549b6258980c5aeabd1;{name} contents supported
en_US;4bfedc35196804964d4b3f2e63152839;a content you supported
en_US;4e741cbfe484f8a102d54e88c397a5c3;{name} a content supported
en_US;4f09b220d928715e4830fe9cd0335efc;1 other supported this.
en_US;59e4d6ee8b7f5a69623df96b4b215058;{number} others supported this.
en_US;5b7ced604b2e2504bcc93172572545a2;a content he supported
en_US;5d82f64383801dc60c3cf94c968c9a69;{name1} and {name2} supported {content count contents}.
en_US;5dba450b5a7a601abeabf2a31a5b9058;{name1} supported {content1}. {sent_aux_a}
en_US;605402ee3425f01cf30284e10b22c28f;{name1} and {name count others} supported {content count contents}. {sent_aux_a}
en_US;653786a9a3b05043bddd486a4214bade;{name1} and {name count others} supported {content1} and {content2}.
en_US;6e3700d136914f91e1f937bfc0739a2a;{name} supported {number} contents {sent_aux_a}. {sent_aux_b}
en_US;7344ec4fcca52ff826b90646ff2de8ca;{name1} and {name count others} supported {content1} and {content count other contents}.
en_US;79e7d5299cb458410d1c9bedaf77cd04;{name1} and {name2} supported a content.
en_US;7f837377354b4849d3d9bed9abcbb8ef;{name1} You and supported this.
en_US;91eaf5b62d3c02c14b6482c35f4bb16b;{name1} supported {sent_aux_a} a {sent_aux_b} content {sent_aux_c}.
en_US;98a4067a40b9c5d0ff4ecf72a5643651;You supported this.
en_US;993b0ab80f2ad83b65d9483b45f5c527;{name1} and {name2} supported this.
en_US;9d2529e8dab7ffffeafd9513ca90de73;{content1} Supported.
en_US;a621c508fb8cb61809cb31c5ee748f93;{name1} and {name2} supported {content1} and {content2}.
en_US;ac089cb9f6d122f521111fb3405ee94c;{name1} supported this.
en_US;ac1611e60b7a542af50327c0cb83af4f;{name} supported {sent_aux_a} a {sent_aux_b} content {sent_aux_c}.
en_US;bae174f5fffc5a8b79f3e9629d38473c;contents she supported
en_US;bea1c84fdc5f1a793ab6b2c76948e208;{name1} and {name2} supported {content count contents}. {sent_aux_a}
en_US;bea492317c327ffb4f075a7eb6e5f71a;contents you supported
en_US;c3df37352322e76dce3712c0bad17b20;{name} supported {number} contents.
en_US;c993b25a896dd1679fb44a38b816249c;{name1} supported {content1} and {content count other contents}. {sent_aux_a}
en_US;c9b3495a5bf35301e99174e95925f05b;{name1} and {name count others} supported {sent_aux_a} a {sent_aux_b} content {sent_aux_c}.
en_US;cfbe03324b5cd28ca92a7531db313459;{name1} and {name count others} supported a content.
en_US;d975e1b1693d37533c845edbc837b16e;{number} others supported this. Be the first of your friends.
en_US;dcc61e0156f4b54a8cb754b7e233433b;1 other supported this. Be the first of your friends.
en_US;e10ff9f9a0b7eefb53d99bceea02c38f;{number} You and others supported this.
en_US;e49e536cc957aff1eaf5b88dfa9c50e0;{name1} and {name2} supported {content1} and {content count other contents}.
en_US;ec036466a94de213889510acaeba204d;{name1} and {name2} supported {sent_aux_a} a {sent_aux_b} content {sent_aux_c}.
en_US;ec409137e4b4176b3565901980e788f3;{name1} and {name count others} supported {content1}.
en_US;ec779effa7b552012605a11adaeef0a5;{name1} and {name count others} supported {content1}. {sent_aux_a}
en_US;eccd5f8f423c00ab46769002ccc34442;{name1} and {name count} others supported this.
en_US;eec0a5c450081396552d89b6520b77eb;{name1} supported {content count contents}.
en_US;fceb9f6ed3f965ffe1c3847e931bd257;{name1} and {name2} supported {content1}. {sent_aux_a}
